"input" "reason" "matches" "symbol" "organism.name" "secondaryIdentifier" "primaryIdentifier" "class" "briefDescription"
"WBGene00001031" "MATCH" "1" "dnj-13" "Caenorhabditis elegans" "F54D5.8" "WBGene00001031" "Gene" "This gene encodes a protein containing a DnaJ ('J') domain."
"WBGene00007137" "MATCH" "1" "lcmt-1" "Caenorhabditis elegans" "B0285.4" "WBGene00007137" "Gene" ""
"WBGene00002000" "MATCH" "1" "hrp-2" "Caenorhabditis elegans" "F58D5.1" "WBGene00002000" "Gene" ""
"WBGene00005078" "MATCH" "1" "src-2" "Caenorhabditis elegans" "F49B2.5" "WBGene00005078" "Gene" "src-2 encodes a non-receptor protein tyrosine kinase that, along with src-1, is one of two C. elegans Src family kinase members; although src-2(RNAi) alone results in no overt phenotype, src-2(RNAi) performed in the background of retinoblastoma pathway mutants results in embryonic and larval lethality, as well as sterility; a src-2::GFP reporter fusion is expressed in pharyngeal muscles, the vulva, and some cells around anus; overexpression of SRC-2 in yeast cell results in an overall increase in protein tyrosine phosphorylation levels, which is suppressed by co-expression with CSK-1, a predicted negative regulator of SRC-2 activity."
"WBGene00004420" "MATCH" "1" "rpl-9" "Caenorhabditis elegans" "R13A5.8" "WBGene00004420" "Gene" "rpl-9 encodes a large ribosomal subunit L9 protein that affects fertility and embryonic viability."
"WBGene00005077" "MATCH" "1" "src-1" "Caenorhabditis elegans" "Y92H12A.1" "WBGene00005077" "Gene" "src-1 encodes a non-receptor tyrosine kinase; during embryonic development, src-1 functions together with a Wnt signaling pathway to specify endodermal cell fate and division orientation of the EMS blastomere; src-1 also functions in an unc-5-mediated pathway to regulate cell and axon migration; SRC-1 physically interacts with UNC-5; src-1 also functions in the engulfing cell during cell corpse engulfment together with ina-1/integrin and ced-2/CrkII ; SRC-1 physically interacts with both CED-2 and INA-1, therefore acting as a bridging molecule that may link INA-1 to the CED-2-CED-5-CED-12 complex for CED-10/Rac activation; in addition to being widely expressed, SRC-1 colocalizes with INA-1 to the pseudopods of phagocytes that are extended around apoptotic cells."
"WBGene00000182" "MATCH" "1" "arf-1.2" "Caenorhabditis elegans" "B0336.2" "WBGene00000182" "Gene" "arf-1.2 encodes an ADP-ribosylation factor homolog required in vivo for embryonic development, fertility, locomotion, vulval development, and cuticular synthesis; ARF proteins are N-myristoylated GTPases that regulate membrane traffic and the actin cytoskeleton, and that activate both phospholipase D1 (PLD1) and phosphatidylinositol 4-phosphate 5-kinase."
"WBGene00014109" "MATCH" "1" "chpf-1" "Caenorhabditis elegans" "ZK856.8" "WBGene00014109" "Gene" ""
"WBGene00013143" "MATCH" "1" "Y53C12B.1" "Caenorhabditis elegans" "Y53C12B.1" "WBGene00013143" "Gene" ""
"WBGene00001149" "MATCH" "1" "bcat-1" "Caenorhabditis elegans" "K02A4.1" "WBGene00001149" "Gene" "bcat-1 encodes a branched-chain amino acid aminotransferase that, by homology, is predicted to catalyze the first reaction in the catabolism of essential branched-chain amino acids such as leucine, isoleucine, and valine; in C. elegans, large-scale RNA-mediated interference (RNAi) screens indicate that bcat-1 activity is required for embryonic and larval development."
"WBGene00004418" "MATCH" "1" "rpl-7" "Caenorhabditis elegans" "F53G12.10" "WBGene00004418" "Gene" "rpl-7 encodes a large ribosomal subunit L7 protein required in mass RNAi assays for embryonic viability and normally rapid growth."
"WBGene00020465" "MATCH" "1" "T12E12.6" "Caenorhabditis elegans" "T12E12.6" "WBGene00020465" "Gene" ""
"WBGene00004895" "MATCH" "1" "smu-1" "Caenorhabditis elegans" "CC4.3" "WBGene00004895" "Gene" "smu-1 encodes a highly conserved WD40 repeat-containing protein that is orthologous to the vertebrate and plant SMU proteins and S. cerevisiae Pfs2p; SMU-1 activity is required, along with that of SMU-2, for regulation of splice site choice in the pre-mRNAs of unc-52 and other genes; SMU-1 physically interacts with SMU-2 both in vitro and in vivo, and is stabilized by SMU-2; SMU-1 is ubiquitously expressed and localizes to the nucleus."
